control_executed,episode_steps,final_estimated_goal_xy_error_m,final_object_xyz_evaluator_only,final_true_goal_abs_x_error_m,final_true_goal_abs_y_error_m,final_true_goal_xy_error_m,full_success,goal_detected,goal_failure_reason,goal_xy_error_m,initial_object_xyz,object_detected,object_failure_reason,object_xy_error_m,place_success,seed,true_goal_xyz_evaluator_only,object_inside_goal_region_xy
True,493,0.0049670228422371,"[0.6219014868384816, 0.08350194661019027, 0.31460385669561725]",0.0011765192179266,0.0043063337650679,0.0044641581475475,True,True,,0.002741620761085,"[0.582186814566789, -0.024448624099179084, 0.315]",True,,0.0012423903149283,True,42,"[0.620724967620555, 0.08780828037525826, 0.315]",True
True,474,0.0160449141889391,"[0.5326381384290549, -0.13145287792520333, 0.316942308002457]",0.0143823942201071,0.0073314092192562,0.0161431974727055,True,True,,0.0007340207417302,"[0.5456897788102733, -0.18248987054440136, 0.315]",True,,0.0002488348928488,True,43,"[0.5182557442089478, -0.13878428714445956, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=44; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,44,,False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=45; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,45,,False
True,497,0.0046886513405397,"[0.6757740231632133, -0.1264781410978712, 0.3148601881522792]",0.0023237631534392,0.0071284243697327,0.0074976202349999,True,True,,0.0048673292735642,"[0.6216812830070937, -0.16910928271530273, 0.315]",True,,0.0007542003702243,True,46,"[0.673450260009774, -0.11934971672813849, 0.315]",False
True,462,0.0084951417076165,"[0.507391506767228, 0.05647964761838869, 0.31808219705711094]",0.0041898380209114,0.0079127059607314,0.0089535276993188,True,True,,0.0012344408784395,"[0.5725405983927682, 0.10146752684784316, 0.315]",True,,0.0011164546694323,True,47,"[0.5032016687463166, 0.048566941657657244, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=48; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,48,,False
True,413,0.007742671004971,"[0.5104740876195712, 0.09458405531571562, 0.31849375972701155]",0.0063777849735671,0.000241825937155,0.0063823679737961,True,True,,0.0014362613039133,"[0.4588562576828409, 0.03728690406789292, 0.315]",True,,0.0008983366048261,True,49,"[0.5168518725931384, 0.0943422293785606, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=50; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,50,,False
True,513,0.0114244319302368,"[0.6291136580989483, -0.13879368931166747, 0.31498621966739515]",0.0084321786125358,0.0077042986045833,0.0114218147919799,True,True,,0.0022212252177843,"[0.6327323588811251, -0.07714465568450396, 0.315]",True,,0.0010719785401606,True,51,"[0.6206814794864124, -0.14649798791625085, 0.315]",False
