seed,same_initial_object,same_initial_goal,ground_truth_success,rgbd_success,success_identical,ground_truth_steps,rgbd_steps,rgbd_visual_error_m,rgbd_failure_class
78,True,True,True,True,True,388,389,0.0008943462371673233,success
79,True,True,False,True,False,416,603,0.0006078243484716223,success
80,True,True,True,True,True,465,491,0.0006138424580198273,success
81,True,True,True,True,True,474,484,0.0006421989037762616,success
82,True,True,True,True,True,462,458,0.0009212972873021829,success
83,True,True,True,True,True,542,527,2.454612964777856e-05,success
84,True,True,True,True,True,444,443,0.0010212797128503885,success
85,True,True,True,True,True,420,422,0.0006481562394141716,success
86,True,True,True,True,True,510,502,0.0009656631564741755,success
87,True,True,True,True,True,405,407,0.0008503019099753939,success
88,True,True,True,True,True,404,407,0.0009461730570525883,success
89,True,True,True,True,True,451,450,0.000902810937475156,success
90,True,True,True,True,True,436,435,0.0007757705391212356,success
91,True,True,True,True,True,454,454,0.000570345526188793,success
92,True,True,True,True,True,516,503,0.00030689854290639085,success
93,True,True,True,True,True,478,480,0.0012926386618333425,success
94,True,True,True,True,True,418,416,0.0009463139276405088,success
95,True,True,True,True,True,408,405,0.00044960889583517204,success
96,True,True,True,True,True,446,447,0.0013070647732526068,success
97,True,True,True,True,True,483,476,0.001132473705461437,success
98,True,True,True,True,True,441,440,0.0005166018865499196,success
99,True,True,True,True,True,440,438,0.0006443672901489757,success
